CodInst,NomeInstituicao,Segmento
20177390,IF 20177390,N/D
20251847,IF 20251847,N/D
20269566,IF 20269566,N/D
20308187,IF 20308187,N/D
20443996,IF 20443996,N/D
20520298,IF 20520298,N/D
20622809,IF 20622809,N/D
20757199,IF 20757199,N/D
20833976,IF 20833976,N/D
20833992,IF 20833992,N/D
20855875,IF 20855875,N/D
20961629,IF 20961629,N/D
21018182,IF 21018182,N/D
21040668,IF 21040668,N/D
21110927,IF 21110927,N/D
21130869,IF 21130869,N/D
21198087,IF 21198087,N/D
21332862,IF 21332862,N/D
21597133,IF 21597133,N/D
21661202,IF 21661202,N/D
21670187,IF 21670187,N/D
21797311,IF 21797311,N/D
21866694,IF 21866694,N/D
21995256,IF 21995256,N/D
22121209,IF 22121209,N/D
22177858,IF 22177858,N/D
22575466,IF 22575466,N/D
22610500,IF 22610500,N/D
22639377,IF 22639377,N/D
22656789,IF 22656789,N/D
22724710,IF 22724710,N/D
22749014,IF 22749014,N/D
22753982,IF 22753982,N/D
22760839,IF 22760839,N/D
22896431,IF 22896431,N/D
23010182,IF 23010182,N/D
23114447,IF 23114447,N/D
23241540,IF 23241540,N/D
23511655,IF 23511655,N/D
23623636,IF 23623636,N/D
23757411,IF 23757411,N/D
23862762,IF 23862762,N/D
23903068,IF 23903068,N/D
23949522,IF 23949522,N/D
24048910,IF 24048910,N/D
24074692,IF 24074692,N/D
24235459,IF 24235459,N/D
24313102,IF 24313102,N/D
24361690,IF 24361690,N/D
24431221,IF 24431221,N/D
24537861,IF 24537861,N/D
24610065,IF 24610065,N/D
24654881,IF 24654881,N/D
24795049,IF 24795049,N/D
24799033,IF 24799033,N/D
24830879,IF 24830879,N/D
24933830,IF 24933830,N/D
25021356,IF 25021356,N/D
25104230,IF 25104230,N/D
25238191,IF 25238191,N/D
25280945,IF 25280945,N/D
25353939,IF 25353939,N/D
25363615,IF 25363615,N/D
25387655,IF 25387655,N/D
25387671,IF 25387671,N/D
25387713,IF 25387713,N/D
25395435,IF 25395435,N/D
25404542,IF 25404542,N/D
25420696,IF 25420696,N/D
25528753,IF 25528753,N/D
25536764,IF 25536764,N/D
25606237,IF 25606237,N/D
25674235,IF 25674235,N/D
25683434,IF 25683434,N/D
25683475,IF 25683475,N/D
25743311,IF 25743311,N/D
25798596,IF 25798596,N/D
26014175,IF 26014175,N/D
26178111,IF 26178111,N/D
26178533,IF 26178533,N/D
26191078,IF 26191078,N/D
26225776,IF 26225776,N/D
26264220,IF 26264220,N/D
26359745,IF 26359745,N/D
26408161,IF 26408161,N/D
26408187,IF 26408187,N/D
26526166,IF 26526166,N/D
26529420,IF 26529420,N/D
26549311,IF 26549311,N/D
26555235,IF 26555235,N/D
26563270,IF 26563270,N/D
26615279,IF 26615279,N/D
26758433,IF 26758433,N/D
26960328,IF 26960328,N/D
27084098,IF 27084098,N/D
27098060,IF 27098060,N/D
27171974,IF 27171974,N/D
27214112,IF 27214112,N/D
27302181,IF 27302181,N/D
27348513,IF 27348513,N/D
27351731,IF 27351731,N/D
27652684,IF 27652684,N/D
27842177,IF 27842177,N/D
27970567,IF 27970567,N/D
28048783,IF 28048783,N/D
28080769,IF 28080769,N/D
28127603,IF 28127603,N/D
28145589,IF 28145589,N/D
28145829,IF 28145829,N/D
28156057,IF 28156057,N/D
28195667,IF 28195667,N/D
28244622,IF 28244622,N/D
28435685,IF 28435685,N/D
28517628,IF 28517628,N/D
28581308,IF 28581308,N/D
28650236,IF 28650236,N/D
28683892,IF 28683892,N/D
28762249,IF 28762249,N/D
28811341,IF 28811341,N/D
