data_captura,data_base,documento,cnpj,agencia,nome_instituicao,cod_congl,nome_congl,taxonomia,conta,nome_conta,saldo
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1884000005,DEVEDORES POR DEPÓSITOS EM GARANTIA,39334700370.05
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1884500000,IMPOSTOS E CONTRIBUIÇÕES A COMPENSAR,10594128508.13
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1886000003,OPÇÕES POR INCENTIVOS FISCAIS,67169045.00
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1886500008,PAGAMENTOS A RESSARCIR,172246990.32
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1887900009,VALORES A RECEBER RELATIVOS A TRANSAÇÕES DE PAGAMENTO,58145955813.69
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1888000001,"TÍTULOS E CRÉDITOS A RECEBER, SEM CARACTERÍSTICA DE CONCESSÃO DE CRÉDITO",15216526889.69
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1888100004,VALORES A RECEBER EM OPERAÇÕES SUBSIDIADAS OU SUBVENCIONADAS,1086376932.93
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1888200007,ATIVOS ATUARIAIS GERADOS POR FUNDOS DE PENSÃO DE BENEFÍCIO DEFINIDO,22781661775.00
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1888500006,VALORES A RECEBER DE SOCIEDADES LIGADAS,516334212.46
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1889000000,DEVEDORES DIVERSOS - EXTERIOR,92931363.85
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1889200006,DEVEDORES DIVERSOS - PAÍS,6437419339.07
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1890000006,(-) Provisões para Outros Créditos,-6652348941.70
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1899600005,(-) PROVISÃO PARA PERDAS DE CRÉDITO DE VALORES A RECEBER RELATIVOS A TRANSAÇÕES DE PAGAMENTO,-1898531002.70
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1899900004,(-) PROVISÃO PARA PERDAS DE CRÉDITO - OUTROS CRÉDITOS,-4753817939.00
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1900000006,OUTROS VALORES E BENS,1769828230.13
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1980000002,Outros Valores e Bens,296705918.59
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1984000008,ATIVOS EM ESTOQUE,5436385.57
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1987000005,ATIVOS NÃO FINANCEIROS MANTIDOS PARA VENDA - PRÓPRIOS,67782678.09
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1988000004,ATIVOS NÃO FINANCEIROS MANTIDOS PARA VENDA - RECEBIDOS,367439907.45
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1989700004,(-) PROVISÃO PARA DESVALORIZAÇÃO DE ATIVOS NÃO FINANCEIROS MANTIDOS PARA VENDA - PRÓPRIOS,-3911414.03
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1989800007,(-) PROVISÃO PARA DESVALORIZAÇÃO DE ATIVOS NÃO FINANCEIROS MANTIDOS PARA VENDA - RECEBIDOS,-140041638.49
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1990000009,Despesas Pagas Antecipadamente,1473122311.54
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1991000008,DESPESAS E CUSTOS PAGOS ANTECIPADAMENTE,1473122311.54
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,2000000008,Ativo Permanente,80351109985.56
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,2100000001,INVESTIMENTOS,50589250752.54
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,2110000008,Investimentos no Exterior,16778476298.00
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,2111000007,DEPENDÊNCIAS NO EXTERIOR,7835624364.43
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,2112000006,PARTICIPAÇÕES NO EXTERIOR AVALIADAS PELO MEP,8975058778.59
